Waikanae 166.0 306.0 246.0 327.0
Paraparaumu 145.0 328.0 241.0 348.0
Paekakariki 155.0 351.0 243.0 370.0
Pukerua-Bay 149.0 373.0 245.0 393.0
Plimmerton 153.0 395.0 241.0 413.0
Mana 183.0 418.0 237.0 433.0
Paremata 163.0 440.0 239.0 457.0
Porirua 175.0 462.0 240.0 478.0
Kenepuru 162.0 481.0 239.0 501.0
Linden 174.0 504.0 239.0 523.0
Tawa 185.0 529.0 240.0 544.0
Redwood 164.0 548.0 241.0 565.0
Takapu-Road 151.0 569.0 241.0 587.0
Johnsonville 57.0 439.0 147.0 460.0
Raroa 80.0 462.0 145.0 479.0
Khandallah 57.0 485.0 144.0 503.0
Box-Hill 73.0 505.0 143.0 524.0
Simla-Crescent 37.0 527.0 143.0 545.0
Awarua-Street 40.0 549.0 141.0 566.0
Ngaio 82.0 571.0 142.0 587.0
Crofton-Downs 38.0 594.0 143.0 613.0
Melling 274.0 451.0 344.0 472.0
Western-Hutt 275.0 484.0 349.0 510.0
Masterton 384.0 38.0 463.0 58.0
Renall-Street 384.0 70.0 489.0 89.0
Solway 384.0 95.0 460.0 113.0
Carterton 383.0 119.0 470.0 140.0
Matarawa 383.0 145.0 467.0 163.0
Woodside 383.0 175.0 472.0 190.0
Featherston 384.0 199.0 478.0 217.0
Maymorn 381.0 223.0 468.0 240.0
Upper-Hutt 384.0 249.0 478.0 270.0
Wallaceville 384.0 276.0 486.0 297.0
Trentham 384.0 303.0 476.0 322.0
Heretaunga 384.0 327.0 485.0 345.0
Silverstream 384.0 356.0 489.0 374.0
Manor-Park 384.0 379.0 481.0 400.0
Pomare 384.0 403.0 463.0 423.0
Taita 384.0 430.0 450.0 449.0
Wingate 384.0 454.0 467.0 472.0
Naenae 387.0 482.0 460.0 506.0
Epuni 366.0 507.0 424.0 528.0
Waterloo 337.0 533.0 411.0 552.0
Woburn 328.0 558.0 387.0 576.0
Ava 298.0 577.0 348.0 592.0
Petone 292.0 603.0 351.0 621.0
Ngauranga 305.0 634.0 368.0 648.0
Wellington 246.0 654.0 393.0 680.0
